locale_slug,locale_name,locale_localized_name,locale_url,locale_leaders,locale_reviewers,locale_editors,active_contributors_last90
af,Afrikaans,,https://support.mozilla.org/en-US/kb/locales/af,https://support.mozilla.org/en-US/user/fwolff/,https://support.mozilla.org/en-US/user/fwolff/;https://support.mozilla.org/en-US/user/StephenGeldenhuys/;https://support.mozilla.org/en-US/user/Kateafrikaans/,https://support.mozilla.org/en-US/user/fwolff/;https://support.mozilla.org/en-US/user/StephenGeldenhuys/,https://support.mozilla.org/en-US/user/kelimutu/
ar,Arabic,,https://support.mozilla.org/en-US/kb/locales/ar,https://support.mozilla.org/en-US/user/rami223/;https://support.mozilla.org/en-US/user/SynergySINE/;https://support.mozilla.org/en-US/user/djug/;https://support.mozilla.org/en-US/user/Tess.welhazi/,https://support.mozilla.org/en-US/user/rami223/;https://support.mozilla.org/en-US/user/missty125/;https://support.mozilla.org/en-US/user/kmawasi/;https://support.mozilla.org/en-US/user/aboodmanna/;https://support.mozilla.org/en-US/user/SynergySINE/;https://support.mozilla.org/en-US/user/djug/;https://support.mozilla.org/en-US/user/howij1995/;https://support.mozilla.org/en-US/user/thepoet336/;https://support.mozilla.org/en-US/user/Tess.welhazi/;https://support.mozilla.org/en-US/user/ahmadnourallah/,https://support.mozilla.org/en-US/user/rami223/;https://support.mozilla.org/en-US/user/missty125/;https://support.mozilla.org/en-US/user/kmawasi/;https://support.mozilla.org/en-US/user/ralshammrei2/;https://support.mozilla.org/en-US/user/Fcmam5/;https://support.mozilla.org/en-US/user/samih/,https://support.mozilla.org/en-US/user/ffaaqq9090/;https://support.mozilla.org/en-US/user/irini7311/;https://support.mozilla.org/en-US/user/kelimutu/;https://support.mozilla.org/en-US/user/sxosamah96/
az,Azerbaijani,,https://support.mozilla.org/en-US/kb/locales/az,https://support.mozilla.org/en-US/user/emin25/,https://support.mozilla.org/en-US/user/emin25/;https://support.mozilla.org/en-US/user/fardin_s/,https://support.mozilla.org/en-US/user/maxcoder/;https://support.mozilla.org/en-US/user/emin25/;https://support.mozilla.org/en-US/user/fardin_s/,https://support.mozilla.org/en-US/user/azad_quliyev_2016/;https://support.mozilla.org/en-US/user/stephann2bzh/
bg,Bulgarian,,https://support.mozilla.org/en-US/kb/locales/bg,https://support.mozilla.org/en-US/user/stoyan/,https://support.mozilla.org/en-US/user/stoyan/;https://support.mozilla.org/en-US/user/plamen71/;https://support.mozilla.org/en-US/user/shopov.bogomil/,https://support.mozilla.org/en-US/user/smladenoff/;https://support.mozilla.org/en-US/user/Mr.Mayhem9/;https://support.mozilla.org/en-US/user/bybka93/;https://support.mozilla.org/en-US/user/stoyan/;https://support.mozilla.org/en-US/user/plamen71/;https://support.mozilla.org/en-US/user/Evidence/,https://support.mozilla.org/en-US/user/plamen71/
bm,Bambara,,https://support.mozilla.org/en-US/kb/locales/bm,https://support.mozilla.org/en-US/user/vesper/,https://support.mozilla.org/en-US/user/vesper/,"",https://support.mozilla.org/en-US/user/moon19moonmn/
bn,Bengali,,https://support.mozilla.org/en-US/kb/locales/bn,https://support.mozilla.org/en-US/user/ashickurnoor/;https://support.mozilla.org/en-US/user/maktrix/,https://support.mozilla.org/en-US/user/ashickurnoor/;https://support.mozilla.org/en-US/user/AshfaqHossain/;https://support.mozilla.org/en-US/user/raadu/;https://support.mozilla.org/en-US/user/amit3333/;https://support.mozilla.org/en-US/user/inversemaha/;https://support.mozilla.org/en-US/user/nanditaroy/;https://support.mozilla.org/en-US/user/seeam/;https://support.mozilla.org/en-US/user/na.sabbir/;https://support.mozilla.org/en-US/user/pranjalcborty/;https://support.mozilla.org/en-US/user/kbsnsu/;https://support.mozilla.org/en-US/user/user232878545669140989901665326552803611169/;https://support.mozilla.org/en-US/user/Nazmus_Shakib_Robin/;https://support.mozilla.org/en-US/user/SaimaSharleen/,https://support.mozilla.org/en-US/user/ashickurnoor/;https://support.mozilla.org/en-US/user/Safwan.rahman/;https://support.mozilla.org/en-US/user/rabbihossain/;https://support.mozilla.org/en-US/user/AshfaqHossain/;https://support.mozilla.org/en-US/user/hossainalikram/;https://support.mozilla.org/en-US/user/amit3333/;https://support.mozilla.org/en-US/user/nanditaroy/,https://support.mozilla.org/en-US/user/jamalkhan335446/
bs,Bosnian,,https://support.mozilla.org/en-US/kb/locales/bs,https://support.mozilla.org/en-US/user/kerminator/,https://support.mozilla.org/en-US/user/kerminator/;https://support.mozilla.org/en-US/user/kicin/,https://support.mozilla.org/en-US/user/kerminator/,""
ca,Catalan,,https://support.mozilla.org/en-US/kb/locales/ca,https://support.mozilla.org/en-US/user/LitusMayol/;https://support.mozilla.org/en-US/user/hilillosconchems/,https://support.mozilla.org/en-US/user/e_gamonal/;https://support.mozilla.org/en-US/user/Claygirl/;https://support.mozilla.org/en-US/user/msoengas/;https://support.mozilla.org/en-US/user/pasqualm/;https://support.mozilla.org/en-US/user/hilillosconchems/,https://support.mozilla.org/en-US/user/e_gamonal/;https://support.mozilla.org/en-US/user/Claygirl/,https://support.mozilla.org/en-US/user/kelimutu/
cs,Czech,,https://support.mozilla.org/en-US/kb/locales/cs,https://support.mozilla.org/en-US/user/JasnaPaka/;https://support.mozilla.org/en-US/user/soucet/;https://support.mozilla.org/en-US/user/mstanke/,"","",https://support.mozilla.org/en-US/user/janschellong55/;https://support.mozilla.org/en-US/user/JasnaPaka/
da,Danish,,https://support.mozilla.org/en-US/kb/locales/da,https://support.mozilla.org/en-US/user/dikrib/;https://support.mozilla.org/en-US/user/Joergen/;https://support.mozilla.org/en-US/user/JakobKappel/,https://support.mozilla.org/en-US/user/dikrib/;https://support.mozilla.org/en-US/user/Joergen/;https://support.mozilla.org/en-US/user/JakobKappel/,https://support.mozilla.org/en-US/user/dikrib/;https://support.mozilla.org/en-US/user/Joergen/;https://support.mozilla.org/en-US/user/user955666/,https://support.mozilla.org/en-US/user/JakobKappel/;https://support.mozilla.org/en-US/user/Joergen/
de,German,,https://support.mozilla.org/en-US/kb/locales/de,https://support.mozilla.org/en-US/user/ThomasLendo/;https://support.mozilla.org/en-US/user/pollti/;https://support.mozilla.org/en-US/user/Artist/,https://support.mozilla.org/en-US/user/KadirTopal/;https://support.mozilla.org/en-US/user/Coce/;https://support.mozilla.org/en-US/user/ThomasLendo/;https://support.mozilla.org/en-US/user/Archaeopteryx/;https://support.mozilla.org/en-US/user/pollti/;https://support.mozilla.org/en-US/user/Artist/,https://support.mozilla.org/en-US/user/philipp/;https://support.mozilla.org/en-US/user/KadirTopal/;https://support.mozilla.org/en-US/user/Coce/;https://support.mozilla.org/en-US/user/ThomasLendo/;https://support.mozilla.org/en-US/user/boersenfeger/;https://support.mozilla.org/en-US/user/Archaeopteryx/;https://support.mozilla.org/en-US/user/gk0moz/;https://support.mozilla.org/en-US/user/pollti/;https://support.mozilla.org/en-US/user/Artist/;https://support.mozilla.org/en-US/user/graba/;https://support.mozilla.org/en-US/user/beategm/,https://support.mozilla.org/en-US/user/Artist/;https://support.mozilla.org/en-US/user/Dan2023/;https://support.mozilla.org/en-US/user/graba/;https://support.mozilla.org/en-US/user/thomas.warkentin/
ee,Ewe,,https://support.mozilla.org/en-US/kb/locales/ee,https://support.mozilla.org/en-US/user/vesper/,"","",""
el,Greek,,https://support.mozilla.org/en-US/kb/locales/el,https://support.mozilla.org/en-US/user/ideato/;https://support.mozilla.org/en-US/user/d.spentzos/,https://support.mozilla.org/en-US/user/constanton/;https://support.mozilla.org/en-US/user/ideato/;https://support.mozilla.org/en-US/user/d.spentzos/,https://support.mozilla.org/en-US/user/constanton/;https://support.mozilla.org/en-US/user/ideato/;https://support.mozilla.org/en-US/user/PennyVP/;https://support.mozilla.org/en-US/user/d.spentzos/;https://support.mozilla.org/en-US/user/norhorn/,https://support.mozilla.org/en-US/user/d.spentzos/;https://support.mozilla.org/en-US/user/norhorn/
