slug,title
markup-chart,Markup chart
fix-problems-images-not-show,Fix problems that cause images to not show
how-save-web-page,How to save a web page
how-search-from-address-bar,"How to search IMDB, Wikipedia and more from the address bar"
fix-common-audio-and-video-issues,Fix common audio and video issues
custom-installation-firefox-on-windows,Custom installation of Firefox on Windows
import-bookmarks-google-chrome,Import bookmarks and other data from Google Chrome
import-data-another-browser,Import data from another browser
live-bookmarks,Live Bookmarks - Subscribe to a web page for news and updates
firefox-page-info-window,Firefox Page Info window
secure-connection-failed-firefox-did-not-connect,Secure connection failed and Firefox did not connect
firefox-uses-too-much-memory-or-cpu-resources,Firefox uses too much memory or CPU resources - How to fix
change-fonts-and-colors-websites-use,Change the fonts and colors websites use
websites-look-wrong-or-appear-differently,Websites look wrong or appear differently than they should
add-ons-cause-issues-are-on-blocklist,Add-ons that cause stability or security issues are put on a blocklist
bookmarks-toolbar-display-favorite-websites,Bookmarks Toolbar - Display your favorite websites at the top of the Firefox window
bookmark-folders-organize-your-bookmarks,Use bookmark folders to organize your bookmarks
update-failed-error-message-when-updating,How to fix the Update Failed error message when updating Firefox
restore-default-smart-bookmarks-folders,Restore the default Smart Bookmarks Folders
configure-windows-firewall-allow-firefox-access,Configure Windows Firewall to allow Firefox access to the Internet
how-do-i-delete-bookmark,How do I delete a bookmark?
firefox-takes-long-time-start-up,Firefox takes a long time to start up
search-firefox-address-bar,Search with the Firefox address bar
what-to-do-if-firefox-wont-play-any-sounds,What to do if Firefox won't play any sounds
control-whether-firefox-automatically-fills-forms,Control whether Firefox automatically fills in forms
block-and-unblock-websites-parental-controls-firef,Block and unblock websites with parental controls on Firefox
disable-or-remove-add-ons,Disable or remove Add-ons
recovering-important-data-from-an-old-profile,Recovering important data from an old profile
troubleshoot-and-diagnose-firefox-problems,Troubleshoot and diagnose Firefox problems
how-to-fix-preferences-wont-save,How to fix preferences that won't save
cannot-remove-add-on-extension-or-theme,Cannot remove an add-on (extension or theme)
unable-install-add-ons-extensions-or-themes,Unable to install add-ons (extensions or themes)
firefox-hangs-or-not-responding,Firefox hangs or is not responding - How to fix
pop-blocker-settings-exceptions-troubleshooting,"Pop-up blocker settings, exceptions and troubleshooting"
reset-preferences-fix-problems,Reset Firefox preferences to troubleshoot and fix problems
import-bookmarks-html-file,Import Bookmarks from an HTML file
uninstall-firefox-from-your-computer,Uninstall Firefox from your computer
import-bookmarks-and-other-data-microsoft-edge,Import Bookmarks and other data from Microsoft Edge
create-desktop-shortcut-website,Create a desktop shortcut to a website
sort-bookmarks-quickly-find-ones-you-want,Sort your bookmarks to quickly find the ones you want
use-primary-password-protect-stored-logins,Use a Primary Password to protect stored logins and passwords
how-do-i-tell-if-my-connection-is-secure,How do I tell if my connection to a website is secure?
firefox-options-preferences-and-settings,"Firefox options, preferences and settings"
cookies-information-websites-store-on-your-computer,Cookies - Information that websites store on your computer
remove-websites-address-bar-suggestions,Remove websites from the address bar suggestions
address-bar-autocomplete-firefox,Address bar autocomplete suggestions in Firefox
categorizing-bookmarks-make-them-easy-to-find,Bookmark Tags - Categorize bookmarks to make them easy to find
changes-toolbars-and-window-sizes-are-not-saved,Changes to toolbars and window sizes are not saved
install-older-version-firefox,Install an older version of Firefox
how-stop-firefox-making-automatic-connections,How to stop Firefox from making automatic connections
troubleshoot-firefox-issues-caused-malware,Troubleshoot Firefox issues caused by malware
diagnose-firefox-issues-using-troubleshoot-mode,Diagnose Firefox issues using Troubleshoot Mode
troubleshoot-extensions-themes-to-fix-problems,"Troubleshoot extensions, themes and hardware acceleration issues to solve common Firefox problems"
usernames-and-passwords-are-not-saved,Usernames and passwords are not saved
mozillacrashreporter,Mozilla Crash Reporter
find-and-install-add-ons-add-features-to-firefox,Find and install add-ons to add features to Firefox
find-what-version-firefox-you-are-using,Find what version of Firefox you are using
third-party-cookies-firefox-tracking-protection,Third-party cookies and Firefox tracking protection
clear-cookies-and-site-data-firefox,Clear cookies and site data in Firefox
block-websites-storing-cookies-site-data-firefox,Block websites from storing cookies and site data in Firefox
answering-questions-support-forum,Answering questions on the Support Forum
change-program-used-open-email-links,Change the program used to open email links
cant-download-or-save-files,What to do if you can't download or save files
firefox-and-other-browsers-cant-load-websites,Firefox and other browsers can't load websites
back-and-restore-information-firefox-profiles,Back up and restore information in Firefox profiles
websites-show-spinning-wheel-never-finish-load,Websites show a spinning wheel and never finish loading
restore-previous-session,Restore previous session - Configure when Firefox shows your most recent tabs and windows
re-enable-add-ons-disabled-when-updating,Re-enable add-ons that were disabled when updating Firefox
export-firefox-bookmarks-to-backup-or-transfer,Export Firefox bookmarks to an HTML file to back up or transfer bookmarks
how-install-firefox-windows,How to install Firefox on Windows
install-firefox-linux,Install Firefox on Linux
password-manager-remember-delete-edit-logins,"Password Manager - Remember, delete and edit logins and passwords in Firefox"
update-firefox-latest-release,Update Firefox to the latest release
change-firefox-behavior-when-open-file,Manage file types and download actions in Firefox
restore-bookmarks-from-backup-or-move-them,Restore bookmarks from backup or move them to another computer
bookmarks-firefox,Bookmarks in Firefox
how-print-web-pages-firefox,How to print web pages in Firefox
warning-unresponsive-script,Warning Unresponsive script - What it means and how to fix it
firefox-cant-load-websites-other-browsers-can,Firefox can't load websites but other browsers can
how-clear-firefox-cache,How to clear the Firefox cache
firefox-doesnt-save-web-form-entries,Firefox doesn't save web form entries
make-firefox-your-default-browser,Make Firefox your default browser
how-do-i-use-firefox-spell-checker,How do I use the Firefox spell checker?
websites-dont-load-troubleshoot-and-fix-errors,Websites don't load - troubleshoot and fix error messages
customize-firefox-controls-buttons-and-toolbars,"Customize Firefox controls, buttons and toolbars"
view-pdf-files-firefox-or-choose-another-viewer,View PDF files in Firefox or choose another viewer
fix-problems-facebook-games-chat-and-more,"Fix problems with Facebook games, chat and more"
setting-firefox-default-browser-does-not-work,Setting Firefox as the default browser does not work - What to do
using-pontoon-localize-sumo,Using Pontoon to Localize SUMO
