Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/en-US/kb/captive-portal,"11,995,706","10,909,862",00:07:27,"10,894,455",27.04%,90.38%,$0.00
(other),"11,830,833","11,053,690",00:01:26,"8,951,002",63.24%,75.60%,$0.00
/en-US/kb/secure-connection-failed-firefox-did-not-connect,"9,971,717","8,271,507",00:03:09,"8,188,202",39.43%,78.60%,$0.00
/de/kb/thunderbird-und-junk-spam-nachrichten,"4,830,646","2,698,414",00:02:26,"2,676,853",25.45%,55.23%,$0.00
/en-US/kb/insecure-password-warning-firefox,"4,317,569","3,677,388",00:02:50,"3,659,593",42.08%,83.61%,$0.00
/en-US/kb/end-support-firefox-reality,"3,522,023","1,961,412",00:07:06,"1,950,396",19.89%,54.96%,$0.00
/ja/kb/thunderbird-and-junk-spam-messages,"3,308,015","2,070,443",00:03:01,"2,043,855",18.22%,61.53%,$0.00
/en-US/kb/thunderbird-and-junk-spam-messages,"2,752,229","1,633,245",00:02:46,"1,612,904",22.43%,58.39%,$0.00
/en-US/products/firefox,"2,749,210","1,961,493",00:00:56,"1,629,326",54.24%,48.92%,$0.00
/zh-CN/kb/insecure-password-warning-firefox,"2,381,724","1,978,696",00:02:48,"1,963,413",45.66%,81.17%,$0.00
/zh-CN/kb/安全连接失败而 Firefox 显示错误,"2,326,973","1,958,780",00:03:34,"1,933,479",44.16%,80.81%,$0.00
/de/kb/sichere-verbindung-fehlgeschlagen,"2,299,064","1,960,093",00:03:18,"1,940,371",43.72%,81.39%,$0.00
/fr/kb/que-faire-devant-erreur-echec-connexion-securisee,"2,156,345","1,775,749",00:03:24,"1,757,846",37.90%,77.18%,$0.00
/pt-BR/kb/deteccao-de-portal-cativo,"2,004,105","1,888,713",00:06:52,"1,887,429",36.10%,93.92%,$0.00
/es/kb/La conexión segura ha fallado,"1,966,543","1,590,335",00:03:06,"1,574,633",39.95%,75.85%,$0.00
/ru/kb/oshibka-zashishyonnogo-soedineniya,"1,822,568","1,519,833",00:03:15,"1,506,376",46.83%,80.30%,$0.00
/fr/kb/portail-captif,"1,819,546","1,702,448",00:06:41,"1,699,965",37.63%,92.67%,$0.00
/en-US/,"1,654,953","1,288,165",00:01:07,"926,836",63.67%,52.55%,$0.00
/en-US/kb/firefox-options-preferences-and-settings,"1,557,898","1,365,080",00:02:22,"1,260,761",27.94%,70.34%,$0.00
/pt-BR/kb/falha-na-conexao-segura-e-firefox-nao-conectou,"1,428,139","1,181,158",00:03:07,"1,170,324",44.85%,79.05%,$0.00
/en-US/kb/update-firefox-latest-release,"1,394,821","1,103,345",00:02:07,"743,628",10.03%,65.91%,$0.00
/en-US/products/thunderbird,"1,373,603","842,664",00:00:59,"778,911",48.96%,42.64%,$0.00
/es/kb/advertencia-de-contrasena-no-segura-en-firefox,"1,369,138","1,153,146",00:03:01,"1,147,439",44.96%,83.15%,$0.00
/fr/kb/thunderbird-et-les-messages-indesirables-ou-spam,"1,296,360","796,066",00:03:22,"786,877",25.65%,60.56%,$0.00
/en-US/users/auth,"1,290,002","1,112,200",00:01:54,"72,170",68.42%,61.76%,$0.00
/zh-CN/kb/强制门户探测,"1,253,485","1,164,713",00:04:49,"1,160,594",40.46%,91.91%,$0.00
/en-US/kb/troubleshoot-time-errors-secure-websites,"1,121,678","952,273",00:02:58,"921,652",40.51%,80.08%,$0.00
/de/kb/warnung-unsichere-anmeldung-mit-passwort-firefox,"1,048,202","922,196",00:03:01,"918,588",58.13%,86.55%,$0.00
/en-US/kb/add-on-badges,"941,816","813,978",00:01:49,"805,834",27.66%,75.73%,$0.00
/en-US/kb/whats-new-firefox-android,"936,285","798,748",00:03:27,"781,316",39.67%,79.58%,$0.00
/ja/products/thunderbird,"924,331","628,430",00:01:03,"597,356",61.54%,56.28%,$0.00
/nl/kb/thunderbird-en-ongewenste-spamberichten,"922,691","490,406",00:02:47,"484,108",17.70%,52.28%,$0.00
/es/kb/captive-portal,"873,152","815,308",00:07:50,"814,274",37.34%,92.83%,$0.00
/pl/kb/nie-udało-się-nawiazać-bezpiecznego-połączenia,"867,741","719,445",00:03:07,"714,791",50.12%,79.88%,$0.00
