Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/de/kb/thunderbird-und-junk-spam-nachrichten,"4,830,646","2,698,414",00:02:26,"2,676,853",25.45%,55.23%,$0.00
/ja/kb/thunderbird-and-junk-spam-messages,"3,308,015","2,070,443",00:03:01,"2,043,855",18.22%,61.53%,$0.00
/en-US/kb/thunderbird-and-junk-spam-messages,"2,752,229","1,633,245",00:02:46,"1,612,904",22.43%,58.39%,$0.00
/en-US/products/thunderbird,"1,373,603","842,664",00:00:59,"778,911",48.96%,42.64%,$0.00
/fr/kb/thunderbird-et-les-messages-indesirables-ou-spam,"1,296,360","796,066",00:03:22,"786,877",25.65%,60.56%,$0.00
/ja/products/thunderbird,"924,331","628,430",00:01:03,"597,356",61.54%,56.28%,$0.00
/nl/kb/thunderbird-en-ongewenste-spamberichten,"922,691","490,406",00:02:47,"484,108",17.70%,52.28%,$0.00
/de/products/thunderbird,"796,703","540,554",00:01:20,"504,376",46.38%,50.28%,$0.00
/it/kb/thunderbird-posta-indesiderata-spam,"651,489","465,378",00:02:57,"462,263",48.27%,70.63%,$0.00
/fr/products/thunderbird,"637,019","417,014",00:01:01,"395,015",54.45%,48.40%,$0.00
/ja/kb/filelink-large-attachments,"583,775","413,592",00:05:03,"396,258",10.81%,68.12%,$0.00
/es/products/thunderbird,"430,497","258,830",00:00:32,"250,547",75.59%,54.44%,$0.00
/de/kb/filelink-fuer-grosse-dateianhaenge,"369,148","285,357",00:05:18,"275,151",12.88%,74.60%,$0.00
/pl/kb/thunderbird-i-niechciane-wiadomoci,"367,197","295,889",00:03:53,"293,872",47.56%,79.81%,$0.00
/en-US/kb/filelink-large-attachments,"357,540","288,656",00:05:34,"277,551",10.44%,78.08%,$0.00
/it/products/thunderbird,"355,539","224,607",00:00:40,"214,205",70.96%,53.58%,$0.00
/pl/products/thunderbird,"305,733","197,615",00:00:40,"189,683",75.33%,57.42%,$0.00
/es/kb/thunderbird-y-el-correo-basura,"261,806","216,656",00:03:35,"215,363",48.90%,81.82%,$0.00
/ru/products/thunderbird,"231,164","156,109",00:00:43,"149,089",77.11%,59.77%,$0.00
/ja/kb/moving-thunderbird-data-to-a-new-computer,"202,158","175,592",00:06:48,"157,830",7.75%,79.29%,$0.00
/pt-BR/products/thunderbird,"201,644","113,126",00:00:28,"109,768",78.60%,52.13%,$0.00
/fr/kb/filelink-pour-les-pieces-jointes-volumineuses,"190,604","136,966",00:04:47,"133,105",16.10%,69.68%,$0.00
/ru/kb/thunderbird-i-nezhelatelnye-spam-soobsheniya,"185,316","156,913",00:03:24,"156,091",47.31%,83.82%,$0.00
/da/kb/thunderbirds-spamfilter,"167,414","82,064",00:02:16,"80,883",16.32%,48.04%,$0.00
/en-US/kb/compacting-folders,"150,376","134,506",00:03:00,"128,899",42.48%,86.74%,$0.00
/sv/kb/thunderbird-and-junk-spam-messages,"141,989","83,097",00:03:18,"82,138",13.28%,57.62%,$0.00
/de/kb/ordner-komprimieren,"137,156","124,826",00:03:52,"122,455",37.95%,89.09%,$0.00
/en-US/kb/moving-thunderbird-data-to-a-new-computer,"117,104","101,850",00:06:47,"74,693",4.74%,67.65%,$0.00
/en-US/kb/mozilla-crash-reporter-tb,"107,605","89,001",00:02:35,"83,110",34.04%,72.52%,$0.00
/de/kb/thunderbird-daten-auf-neuen-rechner-uebertragen,"104,483","92,035",00:06:47,"77,066",4.78%,74.98%,$0.00
/it/kb/filelink-allegati-grosse-dimensioni,"102,307","78,873",00:05:11,"77,522",23.01%,75.34%,$0.00
/cs/kb/thunderbird-nevyzadana-posta,"97,961","75,492",00:03:50,"75,146",40.55%,76.20%,$0.00
/nl/products/thunderbird,"96,615","66,387",00:01:20,"60,184",37.67%,43.90%,$0.00
/en-US/products/thunderbird/install-migrate-and-update,"95,920","73,686",00:01:11,"48,103",49.92%,39.51%,$0.00
/ja/kb/blocking-sender,"92,739","79,889",00:03:49,"58,103",6.10%,72.11%,$0.00
/en-US/kb/profiles-where-thunderbird-stores-user-data,"91,260","81,091",00:05:11,"48,193",5.78%,64.01%,$0.00
/en-US/products/thunderbird/emails-thunderbird,"91,225","71,326",00:01:07,"10,778",42.05%,22.73%,$0.00
/hu/kb/thunderbird-es-keretlen-uzenetek-levelszemet,"90,619","62,488",00:02:20,"61,751",39.37%,67.49%,$0.00
/pt-BR/kb/spam-e-mensagens-indesejadas-no-thunderbird,"86,530","70,401",00:03:30,"70,028",49.73%,80.62%,$0.00
/ja/kb/cannot-receive-messages,"86,518","71,352",00:05:05,"55,827",7.44%,68.08%,$0.00
/en-US/products/thunderbird/emails-thunderbird/set-up-email-thunderbird,"86,000","62,528",00:01:20,"51,054",40.80%,36.51%,$0.00
/de/products/thunderbird/emails-thunderbird,"83,571","66,251",00:01:04,"4,562",47.45%,24.33%,$0.00
/de/products/thunderbird/emails-thunderbird/set-up-email-thunderbird,"79,786","56,270",00:01:30,"47,976",41.71%,37.74%,$0.00
/en-US/kb/thunderbird-and-gmail,"79,342","67,351",00:04:36,"48,157",6.14%,62.70%,$0.00
/ru/kb/fajlovaya-ssylka-dlya-bolshih-vlozhenij,"76,825","66,341",00:05:29,"65,859",28.53%,85.36%,$0.00
/fi/kb/thunderbird-ja-roskaposti,"76,453","49,647",00:03:40,"48,988",20.07%,63.74%,$0.00
/en-US/questions/new/thunderbird,"74,472","61,571",00:01:35,"38,126",29.08%,29.49%,$0.00
/ja/kb/compacting-folders,"73,845","67,647",00:03:56,"64,671",41.66%,88.82%,$0.00
/ja/products/thunderbird/emails-thunderbird,"72,942","54,583",00:00:52,"3,979",46.84%,22.01%,$0.00
/es/kb/filelink-para-adjuntos-grandes,"70,924","60,783",00:04:41,"60,267",20.85%,82.76%,$0.00
/cs/products/thunderbird,"66,851","48,911",00:00:58,"46,564",71.11%,61.24%,$0.00
/fr/kb/compacter-les-dossiers,"64,468","59,264",00:04:01,"57,489",38.42%,89.48%,$0.00
/ja/products/thunderbird/emails-thunderbird/set-up-email-thunderbird,"64,129","42,445",00:01:34,"34,840",42.18%,36.07%,$0.00
/ja/kb/cannot-send-messages,"63,437","52,205",00:05:29,"42,819",6.33%,68.75%,$0.00
/ru/kb/szhatie-papok,"62,954","58,280",00:04:10,"57,854",43.39%,91.67%,$0.00
/nl/kb/filelink-grote-bijlagen,"62,757","44,463",00:04:46,"41,823",10.63%,66.92%,$0.00
/it/kb/compattazione-cartelle,"60,770","54,847",00:03:19,"53,811",50.41%,88.31%,$0.00
/de/kb/thunderbird-installieren-windows,"59,407","44,255",00:02:41,"37,444",12.32%,58.78%,$0.00
/de/kb/externe-inhalte-nachrichten,"59,072","41,272",00:04:05,"37,541",9.78%,63.56%,$0.00
/en-US/kb/avoid-and-report-mozilla-tech-support-scams,"58,418","46,808",00:00:56,"2,987",26.88%,30.70%,$0.00
/en-US/kb/blocking-sender,"56,927","49,049",00:04:54,"33,611",4.97%,75.38%,$0.00
/es/kb/bandeja-de-entrada-u-otras-carpetas-llenas,"56,437","51,017",00:03:18,"49,944",44.34%,88.31%,$0.00
/no/kb/thunderbird-and-junk-spam-messages,"55,999","35,439",00:02:51,"35,194",19.99%,62.58%,$0.00
/en-US/kb/remote-content-in-messages,"54,030","45,595",00:05:38,"41,615",8.44%,77.25%,$0.00
/ja/products/thunderbird/install-migrate-and-update,"52,099","38,124",00:00:57,"14,842",48.30%,28.49%,$0.00
/de/kb/einen-absender-blockieren,"51,949","42,839",00:04:21,"30,992",4.80%,73.16%,$0.00
/de/products/thunderbird/install-migrate-and-update,"50,765","40,042",00:01:12,"21,602",49.82%,35.68%,$0.00
/en-US/kb/thunderbird-add-ons-frequently-asked-questions,"50,417","43,710",00:04:25,"37,191",32.85%,76.03%,$0.00
/pl/kb/porzadkowanie-folderow,"49,028","45,108",00:03:46,"43,965",48.12%,89.60%,$0.00
/en-US/kb/thunderbird-export,"48,687","42,258",00:04:07,"28,613",5.57%,61.83%,$0.00
/de/questions/new/thunderbird,"47,777","40,088",00:01:35,"31,216",35.55%,40.04%,$0.00
/ja/kb/how-change-thunderbird-layout,"47,672","43,602",00:05:02,"39,132",12.33%,77.75%,$0.00
/fr/products/thunderbird/emails-thunderbird,"46,703","37,295",00:00:56,"2,105",43.66%,19.80%,$0.00
/pl/kb/funkcja-filelink,"46,238","39,346",00:05:37,"39,016",32.33%,84.27%,$0.00
/en-US/kb/manual-account-configuration,"46,012","40,283",00:04:21,"25,194",7.20%,62.37%,$0.00
/en-US/kb/installing-thunderbird-windows,"44,848","37,047",00:03:16,"28,016",12.90%,62.61%,$0.00
/ja/kb/installing-thunderbird-windows,"44,200","33,719",00:03:21,"26,151",15.03%,62.70%,$0.00
/ja/kb/what-winmaildat-attachment,"44,194","38,907",00:04:38,"37,875",11.80%,85.93%,$0.00
/hu/products/thunderbird,"42,627","27,546",00:00:45,"26,122",66.11%,54.38%,$0.00
/en-US/kb/signatures,"42,496","39,640",00:06:44,"29,472",5.31%,81.87%,$0.00
/en-US/kb/thunderbird-import,"39,944","34,466",00:04:08,"21,808",6.35%,60.68%,$0.00
/ja/kb/new-thunderbird-60?locale=ja&version=60.3.3&channel=release&os=WINNT&buildid=20181204174145,"38,530","35,835",00:05:07,"32,828",2.93%,85.36%,$0.00
/fr/kb/ajouter-signature-messages,"37,141","34,894",00:08:05,"25,562",4.44%,89.15%,$0.00
/en-US/kb/installing-thunderbird-linux,"36,943","28,362",00:04:48,"23,565",7.46%,67.40%,$0.00
/ja/kb/manual-account-configuration,"36,783","31,310",00:04:12,"20,079",9.44%,61.05%,$0.00
/ja/kb/ignore-threads,"36,697","31,908",00:05:10,"28,578",19.05%,78.70%,$0.00
/it/kb/trasferire-dati-thunderbird-nuovo-computer,"36,598","32,572",00:06:19,"28,086",4.76%,76.05%,$0.00
/sk/kb/thunderbird-and-junk-spam-messages,"36,460","27,401",00:05:55,"27,184",46.19%,73.75%,$0.00
/ja/kb/profiles-where-thunderbird-stores-user-data,"36,429","31,552",00:04:54,"20,091",9.42%,63.17%,$0.00
/de/kb/probleme-senden-und-empfangen-nachrichten,"36,125","30,745",00:03:47,"14,593",6.06%,58.26%,$0.00
/en-US/kb/automatic-account-configuration,"35,995","30,498",00:03:35,"14,035",7.84%,54.78%,$0.00
/de/kb/Benutzerprofile-Thunderbird,"35,615","30,720",00:05:02,"18,472",6.60%,63.49%,$0.00
/fr/products/thunderbird/install-migrate-and-update,"35,094","27,055",00:01:10,"13,211",47.60%,32.97%,$0.00
/de/kb/passworter-thunderbird-speichern-andern-loschen,"34,484","30,932",00:07:03,"21,445",3.24%,80.06%,$0.00
/de/kb/add-ons-faq,"34,241","27,449",00:04:32,"23,718",25.73%,69.44%,$0.00
/en-US/kb/cannot-send-messages,"33,915","28,904",00:04:37,"14,964",6.43%,56.67%,$0.00
/fr/kb/thunderbird-et-gmail,"33,839","29,218",00:04:52,"23,578",33.31%,71.73%,$0.00
/fr/kb/gerer-mots-de-passe-de-thunderbird-retrouver-supprimer-modifier,"33,772","30,522",00:06:52,"21,255",3.45%,78.88%,$0.00
/fr/kb/installer-thunderbird-sous-windows,"33,427","24,049",00:02:37,"19,538",9.33%,55.95%,$0.00
