id,title,slug,url,locale,summary,products_str,topics_str,link
8917,How do I create a screenshot of my problem?,how-do-i-create-screenshot-my-problem,/en-US/kb/how-do-i-create-screenshot-my-problem,en-US,A user's guide to creating a screenshot of their problem for uploading to the support forum.,firefox;mobile;ios;thunderbird;,support-forum;support-forum;support-forum;forum;,https://support.mozilla.org/en-US/kb/how-do-i-create-screenshot-my-problem
9240,What is the Mozilla Maintenance Service?,what-mozilla-maintenance-service,/en-US/kb/what-mozilla-maintenance-service,en-US,Firefox and Thunderbird install Mozilla Maintenance Service to allow seamless background updates. Learn how it works and how to disable or remove it.,firefox;thunderbird;,download-and-install;install-and-update-firefox;install-migrate-and-update;,https://support.mozilla.org/en-US/kb/what-mozilla-maintenance-service
17008,Signatures,signatures,/en-US/kb/signatures,en-US,This article explains how to create and use custom signatures (text or images that are automatically appended to messages).,thunderbird;,read-send-and-organize-emails;customize-controls-options-and-add-ons;,https://support.mozilla.org/en-US/kb/signatures
17010,Global Search,global-search,/en-US/kb/global-search,en-US,Thunderbird includes a message indexing system that improves search performance and displays faceted (categorized) search results.,thunderbird;,read-send-and-organize-emails;,https://support.mozilla.org/en-US/kb/global-search
17012,Quick Filter Toolbar,quick-filter-toolbar,/en-US/kb/quick-filter-toolbar,en-US,The Quick Filter toolbar is used to limit the number of messages that are displayed in the message list. Learn more about how to use it.,thunderbird;,read-send-and-organize-emails;,https://support.mozilla.org/en-US/kb/quick-filter-toolbar
17014,Manual Account Configuration,manual-account-configuration,/en-US/kb/manual-account-configuration,en-US,This article will show you how to manually configure the basic settings you need to send and receive emails with Thunderbird.,thunderbird;,set-up-email-thunderbird;,https://support.mozilla.org/en-US/kb/manual-account-configuration
17016,FAQ Changing IMAP to POP,faq-changing-imap-pop,/en-US/kb/faq-changing-imap-pop,en-US,"If your mail server supports both IMAP and POP, Thunderbird will use IMAP by default. Use these instructions to manually configure a POP account.",thunderbird;,fix-problems-email-providers-gmail-yahoo-etc;thunderbird-options-preferences-and-settings;fix-slowness-crashing-error-messages-and-other-problems;,https://support.mozilla.org/en-US/kb/faq-changing-imap-pop
17017,Archived Messages,archived-messages,/en-US/kb/archived-messages,en-US,"This article explains how the ""archive"" feature of Thunderbird works.",thunderbird;,read-send-and-organize-emails;emails-thunderbird;customize-controls-options-and-add-ons;thunderbird-options-preferences-and-settings;how;,https://support.mozilla.org/en-US/kb/archived-messages
17018,Automatic Account Configuration,automatic-account-configuration,/en-US/kb/automatic-account-configuration,en-US,Setting up a new account with Thunderbird is easy. All you need to do is provide your user name and password for your email provider and your email address.,thunderbird;,set-up-email-thunderbird;,https://support.mozilla.org/en-US/kb/automatic-account-configuration
17019,Keyboard shortcuts - perform common Thunderbird tasks quickly,keyboard-shortcuts-thunderbird,/en-US/kb/keyboard-shortcuts-thunderbird,en-US,Keyboard shortcuts are quick key combinations that replace mouse navigation. This is a list of commonly used keyboard shortcuts in Thunderbird.,thunderbird;,tips-and-tricks;,https://support.mozilla.org/en-US/kb/keyboard-shortcuts-thunderbird
